"","SettlementPoint","Year","Month","Mean","Min","Max","SD","Volatility"
"1","HB_BUSAVG",2016,1,19.2093010752688,5.12,54.69,5.48521039009743,0.162600138768402
"2","HB_HOUSTON",2016,1,19.5657258064516,5.19,54.55,5.648747381729,0.166627691144379
"3","HB_HUBAVG",2016,1,19.2586962365591,5.13,54.53,5.51231683823601,0.163371800495399
"4","HB_NORTH",2016,1,19.1333064516129,5.09,55.56,5.46548200016404,0.161648724450723
"5","HB_SOUTH",2016,1,19.2100537634409,5.18,54.4,5.45822490456512,0.163099873906445
"6","HB_WEST",2016,1,19.1265591397849,4.84,55.96,5.55280807447687,0.163435384132828
"7","LZ_AEN",2016,1,19.3246639784946,5.35,55.02,5.49965795045457,0.162460211492101
"8","LZ_CPS",2016,1,19.3538440860215,5.28,56.19,5.54837963395335,0.163388320405959
"9","LZ_HOUSTON",2016,1,19.563938172043,5.19,54.94,5.6546752606172,0.166564007282366
"10","LZ_LCRA",2016,1,19.3174596774194,5.47,55.4,5.49798011347042,0.162578648669104
"11","LZ_NORTH",2016,1,19.187997311828,5.08,56.21,5.53281583201071,0.162193555751902
"12","LZ_RAYBN",2016,1,19.4479435483871,5.08,57.38,5.87173439536646,0.163550079343348
"13","LZ_SOUTH",2016,1,19.4817204301075,5.06,58.16,5.7107206445197,0.165176360296305
"14","LZ_WEST",2016,1,19.5192607526882,4.47,56.26,5.9723670202228,0.167717548311407
"15","HB_BUSAVG",2016,2,15.2882471264368,1.79,50.98,5.77717217692724,0.222526372219657
"16","HB_HOUSTON",2016,2,15.4645402298851,2.1,50.75,5.81165606889529,0.220844867149513
"17","HB_HUBAVG",2016,2,15.2692528735632,1.52,50.9,5.81259253336965,0.226253909005208
"18","HB_NORTH",2016,2,15.292658045977,2,51.26,5.74195344177428,0.219466938278411
"19","HB_SOUTH",2016,2,15.333591954023,2.02,50.25,5.7663100204519,0.221193790069236
"20","HB_WEST",2016,2,14.9886637931034,-0.61,51.36,6.01730454932441,0.278258546003897
"21","LZ_AEN",2016,2,15.4482902298851,2.24,51.51,5.74245149381437,0.216371361195192
"22","LZ_CPS",2016,2,15.5200143678161,2.16,52.06,5.80693657395136,0.21742745085175
"23","LZ_HOUSTON",2016,2,15.4879885057471,2.1,50.75,5.82098903607807,0.220774052064871
"24","LZ_LCRA",2016,2,15.4885488505747,2.37,51.55,5.73298029570934,0.214748652522242
"25","LZ_NORTH",2016,2,15.4622126436782,2.28,51.39,5.72711950556094,0.216225311468366
"26","LZ_RAYBN",2016,2,15.4004310344828,2.32,53.35,5.7534661271109,0.214968253868597
"27","LZ_SOUTH",2016,2,15.9358620689655,1.59,52.27,6.3290566520366,0.225691106387347
"28","LZ_WEST",2016,2,15.0444827586207,-0.86,51.61,6.09731232378685,NA
"29","HB_BUSAVG",2016,3,16.7556258411844,1.22,64.31,7.36849687553914,0.21265702856513
"30","HB_HOUSTON",2016,3,17.1249528936743,1.36,72.32,7.70473596551609,0.212203877381837
"31","HB_HUBAVG",2016,3,16.6543472409152,1.05,65.81,7.42626085008418,0.215301685813205
"32","HB_NORTH",2016,3,16.8593674293405,1.46,60.79,7.2599443467133,0.209815782183444
"33","HB_SOUTH",2016,3,16.7631090174966,1,69.59,7.56257022138164,0.216452866955529
"34","HB_WEST",2016,3,15.871668909825,0.38,60.57,7.38101028616065,0.237672123159118
"35","LZ_AEN",2016,3,16.8550740242261,1.32,65.27,7.36040783278097,0.212243184569102
"36","LZ_CPS",2016,3,16.8981830417227,1.31,68.18,7.47878001199382,0.212362864855739
"37","LZ_HOUSTON",2016,3,17.2067294751009,1.35,73.24,7.80524622733359,0.212361126381609
"38","LZ_LCRA",2016,3,16.7962987886945,1.34,66.31,7.39886218411316,0.212269957227744
"39","LZ_NORTH",2016,3,17.4615074024226,1.48,62.31,7.4469997134928,0.21133744557636
"40","LZ_RAYBN",2016,3,17.1172409152086,1.86,61.55,7.32729121538711,0.206401285306863
"41","LZ_SOUTH",2016,3,19.5211440107672,0.56,100,12.3250235850247,0.233364287277471
"42","LZ_WEST",2016,3,16.0026514131898,0.46,60.97,7.44747469607476,0.233296765734141
"43","HB_BUSAVG",2016,4,18.2893472222222,1.18,93.09,9.50614273208801,0.22877198810194
"44","HB_HOUSTON",2016,4,18.9409583333333,1.26,99,10.26543554616,0.230417730127219
"45","HB_HUBAVG",2016,4,18.1668611111111,1.07,94.38,9.5742841350331,0.232100023240519
"46","HB_NORTH",2016,4,18.3506666666667,1.3,90.11,9.31411720180484,0.225823779791418
"47","HB_SOUTH",2016,4,18.5129027777778,1.17,99,9.96218928475032,0.231212639419799
"48","HB_WEST",2016,4,16.86275,-0.05,90.43,9.27089362704318,0.295144602428343
"49","LZ_AEN",2016,4,18.2560694444444,1.17,88.34,9.34557403642361,0.228690775215969
"50","LZ_CPS",2016,4,19.0693611111111,1.14,114.4,11.0938829206038,0.231920460898308
"51","LZ_HOUSTON",2016,4,19.1289305555556,1.26,106.23,10.7659090467531,0.23171604335841
"52","LZ_LCRA",2016,4,18.3927083333333,1.15,92.5,9.68222846298248,0.229687344942899
"53","LZ_NORTH",2016,4,19.0876388888889,1.57,90.61,9.79312544396382,0.221915412905589
"54","LZ_RAYBN",2016,4,18.8553611111111,1.45,90.56,9.70604420796923,0.223075848443656
"55","LZ_SOUTH",2016,4,20.738,1.04,120,13.178488937716,0.245732080700842
"56","LZ_WEST",2016,4,17.1536666666667,0.33,91.7,9.37929180538246,0.260033428550519
"57","HB_BUSAVG",2016,5,18.1595833333333,3.03,73.61,8.01722081337637,0.172573850681685
"58","HB_HOUSTON",2016,5,19.1740860215054,3.04,73.62,9.38017837807119,0.180201684684242
"59","HB_HUBAVG",2016,5,18.247002688172,2.64,73.06,8.214961649766,0.176095579596213
"60","HB_NORTH",2016,5,17.9056317204301,3.55,74.68,7.66682611970472,0.168743442169881
"61","HB_SOUTH",2016,5,18.5704569892473,2.77,71.92,8.66136832558022,0.178812360575052
"62","HB_WEST",2016,5,17.3376747311828,1.06,71.97,7.64855069244267,0.195227449868064
"63","LZ_AEN",2016,5,18.1249059139785,2.8,76.57,7.97765980600632,0.173846943368848
"64","LZ_CPS",2016,5,18.4798655913979,2.77,72.34,8.10097509928891,0.173258830353715
"65","LZ_HOUSTON",2016,5,19.9039919354839,3.03,76.88,10.6398559252604,0.189205019809086
"66","LZ_LCRA",2016,5,18.1827822580645,2.78,73.75,8.00522745939277,0.173186496399829
"67","LZ_NORTH",2016,5,18.1828897849462,4.18,76.8,7.86262678641513,0.166507020532713
"68","LZ_RAYBN",2016,5,18.3209946236559,4.31,75.95,7.88706517819774,0.16439789997006
"69","LZ_SOUTH",2016,5,20.691747311828,2.76,100,12.251857833054,0.196510173679416
"70","LZ_WEST",2016,5,17.7375268817204,1.43,73.98,8.08538079313127,0.190227038339058
"71","HB_BUSAVG",2016,6,23.9098194444444,4.02,110.72,11.3054362885862,0.147429578960215
"72","HB_HOUSTON",2016,6,26.2557361111111,4.31,141,15.3243472685475,0.16400868803198
"73","HB_HUBAVG",2016,6,24.2978472222222,4.15,115.88,11.8617347261588,0.149288612697168
"74","HB_NORTH",2016,6,23.1580555555556,3.64,101,10.3784402797081,0.145708671942049
"75","HB_SOUTH",2016,6,24.645375,4.93,119.5,11.9845162564412,0.152975842530274
"76","HB_WEST",2016,6,23.1419305555556,3.73,102.08,10.2866374977672,0.14498179292891
"77","LZ_AEN",2016,6,24.2375138888889,8.23,110.8,11.5832864612424,0.141316891059992
